date	jury	product	session	taste	value
2021-04-12T00:00:00Z	jury_01	product_1before	session_06	sourness	5.2
2021-04-12T00:00:00Z	jury_01	product_2after	session_06	sourness	5.5
2021-04-12T00:00:00Z	jury_01	product_1before	session_06	bitterness	4.4
2021-04-12T00:00:00Z	jury_01	product_2after	session_06	bitterness	4
2021-04-12T00:00:00Z	jury_01	product_1before	session_06	sweetness	3
2021-04-12T00:00:00Z	jury_01	product_2after	session_06	sweetness	3
2021-04-12T00:00:00Z	jury_01	product_1before	session_06	saltiness	3.7
2021-04-12T00:00:00Z	jury_01	product_2after	session_06	saltiness	3.5
2021-04-12T00:00:00Z	jury_01	product_1before	session_06	fatness, volume	3.1
2021-04-12T00:00:00Z	jury_01	product_2after	session_06	fatness, volume	3
2021-04-12T00:00:00Z	jury_01	product_1before	session_06	balance	6.1
2021-04-12T00:00:00Z	jury_01	product_2after	session_06	balance	6.4
2021-04-12T00:00:00Z	jury_01	product_1before	session_06	freshness	6.9
2021-04-12T00:00:00Z	jury_01	product_2after	session_06	freshness	5.8
2021-04-12T00:00:00Z	jury_01	product_1before	session_06	persistency	5.8
2021-04-12T00:00:00Z	jury_01	product_2after	session_06	persistency	5.1
2021-04-12T00:00:00Z	jury_01	product_1before	session_06	mouthwatering	2.8
2021-04-12T00:00:00Z	jury_01	product_2after	session_06	mouthwatering	3.5
2021-04-12T00:00:00Z	jury_03	product_1before	session_06	sourness	7.1
2021-04-12T00:00:00Z	jury_03	product_2after	session_06	sourness	6.9
2021-04-12T00:00:00Z	jury_03	product_1before	session_06	bitterness	5.3
2021-04-12T00:00:00Z	jury_03	product_2after	session_06	bitterness	4.3
2021-04-12T00:00:00Z	jury_03	product_1before	session_06	sweetness	4.2
2021-04-12T00:00:00Z	jury_03	product_2after	session_06	sweetness	3.8
2021-04-12T00:00:00Z	jury_03	product_1before	session_06	saltiness	5.4
2021-04-12T00:00:00Z	jury_03	product_2after	session_06	saltiness	7.1
2021-04-12T00:00:00Z	jury_03	product_1before	session_06	fatness, volume	5.2
2021-04-12T00:00:00Z	jury_03	product_2after	session_06	fatness, volume	4
2021-04-12T00:00:00Z	jury_03	product_1before	session_06	balance	4.6
2021-04-12T00:00:00Z	jury_03	product_2after	session_06	balance	5.9
2021-04-12T00:00:00Z	jury_03	product_1before	session_06	freshness	4.9
2021-04-12T00:00:00Z	jury_03	product_2after	session_06	freshness	5.2
2021-04-12T00:00:00Z	jury_03	product_1before	session_06	persistency	7.2
2021-04-12T00:00:00Z	jury_03	product_2after	session_06	persistency	7.8
2021-04-12T00:00:00Z	jury_03	product_1before	session_06	mouthwatering	8.2
2021-04-12T00:00:00Z	jury_03	product_2after	session_06	mouthwatering	8.2
2021-04-12T00:00:00Z	jury_05	product_1before	session_06	sourness	4.1
2021-04-12T00:00:00Z	jury_05	product_2after	session_06	sourness	8.3
2021-04-12T00:00:00Z	jury_05	product_1before	session_06	bitterness	2.4
2021-04-12T00:00:00Z	jury_05	product_2after	session_06	bitterness	5.3
2021-04-12T00:00:00Z	jury_05	product_1before	session_06	sweetness	2.5
2021-04-12T00:00:00Z	jury_05	product_2after	session_06	sweetness	2.9
2021-04-12T00:00:00Z	jury_05	product_1before	session_06	saltiness	1.6
2021-04-12T00:00:00Z	jury_05	product_2after	session_06	saltiness	3.4
2021-04-12T00:00:00Z	jury_05	product_1before	session_06	fatness, volume	2.6
2021-04-12T00:00:00Z	jury_05	product_2after	session_06	fatness, volume	4.9
2021-04-12T00:00:00Z	jury_05	product_1before	session_06	balance	5.6
2021-04-12T00:00:00Z	jury_05	product_2after	session_06	balance	2.1
2021-04-12T00:00:00Z	jury_05	product_1before	session_06	freshness	4.9
2021-04-12T00:00:00Z	jury_05	product_2after	session_06	freshness	2.3
2021-04-12T00:00:00Z	jury_05	product_1before	session_06	persistency	5.8
2021-04-12T00:00:00Z	jury_05	product_2after	session_06	persistency	6.4
2021-04-12T00:00:00Z	jury_05	product_1before	session_06	mouthwatering	4.7
2021-04-12T00:00:00Z	jury_05	product_2after	session_06	mouthwatering	2.3
2021-04-12T00:00:00Z	jury_07	product_1before	session_06	sourness	9.2
2021-04-12T00:00:00Z	jury_07	product_2after	session_06	sourness	8.9
2021-04-12T00:00:00Z	jury_07	product_1before	session_06	bitterness	4.1
2021-04-12T00:00:00Z	jury_07	product_2after	session_06	bitterness	3.1
2021-04-12T00:00:00Z	jury_07	product_1before	session_06	sweetness	2.8
2021-04-12T00:00:00Z	jury_07	product_2after	session_06	sweetness	2.6
2021-04-12T00:00:00Z	jury_07	product_1before	session_06	saltiness	6.1
2021-04-12T00:00:00Z	jury_07	product_2after	session_06	saltiness	4.4
2021-04-12T00:00:00Z	jury_07	product_1before	session_06	fatness, volume	2.8
2021-04-12T00:00:00Z	jury_07	product_2after	session_06	fatness, volume	1.5
2021-04-12T00:00:00Z	jury_07	product_1before	session_06	balance	2.2
2021-04-12T00:00:00Z	jury_07	product_2after	session_06	balance	2.5
2021-04-12T00:00:00Z	jury_07	product_1before	session_06	freshness	6.8
2021-04-12T00:00:00Z	jury_07	product_2after	session_06	freshness	6.3
2021-04-12T00:00:00Z	jury_07	product_1before	session_06	persistency	4.4
2021-04-12T00:00:00Z	jury_07	product_2after	session_06	persistency	7.1
2021-04-12T00:00:00Z	jury_07	product_1before	session_06	mouthwatering	8.3
2021-04-12T00:00:00Z	jury_07	product_2after	session_06	mouthwatering	7.9
2021-04-12T00:00:00Z	jury_08	product_1before	session_06	sourness	4.6
2021-04-12T00:00:00Z	jury_08	product_2after	session_06	sourness	10
2021-04-12T00:00:00Z	jury_08	product_1before	session_06	bitterness	5.7
2021-04-12T00:00:00Z	jury_08	product_2after	session_06	bitterness	8.2
2021-04-12T00:00:00Z	jury_08	product_1before	session_06	sweetness	1
2021-04-12T00:00:00Z	jury_08	product_2after	session_06	sweetness	0
2021-04-12T00:00:00Z	jury_08	product_1before	session_06	saltiness	0
2021-04-12T00:00:00Z	jury_08	product_2after	session_06	saltiness	0
2021-04-12T00:00:00Z	jury_08	product_1before	session_06	fatness, volume	3
2021-04-12T00:00:00Z	jury_08	product_2after	session_06	fatness, volume	3.1
2021-04-12T00:00:00Z	jury_08	product_1before	session_06	balance	4.6
2021-04-12T00:00:00Z	jury_08	product_2after	session_06	balance	0
2021-04-12T00:00:00Z	jury_08	product_1before	session_06	freshness	2.2
2021-04-12T00:00:00Z	jury_08	product_2after	session_06	freshness	3.6
2021-04-12T00:00:00Z	jury_08	product_1before	session_06	persistency	5.3
2021-04-12T00:00:00Z	jury_08	product_2after	session_06	persistency	1.9
2021-04-12T00:00:00Z	jury_08	product_1before	session_06	mouthwatering	2.9
2021-04-12T00:00:00Z	jury_08	product_2after	session_06	mouthwatering	6.1
2021-04-12T00:00:00Z	jury_09	product_1before	session_06	sourness	7
2021-04-12T00:00:00Z	jury_09	product_2after	session_06	sourness	7.2
2021-04-12T00:00:00Z	jury_09	product_1before	session_06	bitterness	2.1
2021-04-12T00:00:00Z	jury_09	product_2after	session_06	bitterness	5
2021-04-12T00:00:00Z	jury_09	product_1before	session_06	sweetness	0.1
2021-04-12T00:00:00Z	jury_09	product_2after	session_06	sweetness	0
2021-04-12T00:00:00Z	jury_09	product_1before	session_06	saltiness	1.4
2021-04-12T00:00:00Z	jury_09	product_2after	session_06	saltiness	1.3
2021-04-12T00:00:00Z	jury_09	product_1before	session_06	fatness, volume	0.9
2021-04-12T00:00:00Z	jury_09	product_2after	session_06	fatness, volume	0.1
2021-04-12T00:00:00Z	jury_09	product_1before	session_06	balance	3.6
2021-04-12T00:00:00Z	jury_09	product_2after	session_06	balance	1.9
2021-04-12T00:00:00Z	jury_09	product_1before	session_06	freshness	5.9
2021-04-12T00:00:00Z	jury_09	product_2after	session_06	freshness	1.2
2021-04-12T00:00:00Z	jury_09	product_1before	session_06	persistency	4.3
2021-04-12T00:00:00Z	jury_09	product_2after	session_06	persistency	1
2021-04-12T00:00:00Z	jury_09	product_1before	session_06	mouthwatering	2.3
2021-04-12T00:00:00Z	jury_09	product_2after	session_06	mouthwatering	0.5
2021-04-12T00:00:00Z	jury_13	product_1before	session_06	sourness	6.1
2021-04-12T00:00:00Z	jury_13	product_2after	session_06	sourness	6.3
2021-04-12T00:00:00Z	jury_13	product_1before	session_06	bitterness	4.3
2021-04-12T00:00:00Z	jury_13	product_2after	session_06	bitterness	7
2021-04-12T00:00:00Z	jury_13	product_1before	session_06	sweetness	3.5
2021-04-12T00:00:00Z	jury_13	product_2after	session_06	sweetness	3.6
2021-04-12T00:00:00Z	jury_13	product_1before	session_06	saltiness	4.6
2021-04-12T00:00:00Z	jury_13	product_2after	session_06	saltiness	4.6
2021-04-12T00:00:00Z	jury_13	product_1before	session_06	fatness, volume	4.4
2021-04-12T00:00:00Z	jury_13	product_2after	session_06	fatness, volume	3.7
2021-04-12T00:00:00Z	jury_13	product_1before	session_06	balance	4.9
2021-04-12T00:00:00Z	jury_13	product_2after	session_06	balance	5
2021-04-12T00:00:00Z	jury_13	product_1before	session_06	freshness	5.8
2021-04-12T00:00:00Z	jury_13	product_2after	session_06	freshness	5.8
2021-04-12T00:00:00Z	jury_13	product_1before	session_06	persistency	6.5
2021-04-12T00:00:00Z	jury_13	product_2after	session_06	persistency	6.6
2021-04-12T00:00:00Z	jury_13	product_1before	session_06	mouthwatering	4.8
2021-04-12T00:00:00Z	jury_13	product_2after	session_06	mouthwatering	5.3
2021-04-12T00:00:00Z	jury_15	product_1before	session_06	sourness	5.7
2021-04-12T00:00:00Z	jury_15	product_2after	session_06	sourness	5.3
2021-04-12T00:00:00Z	jury_15	product_1before	session_06	bitterness	2
2021-04-12T00:00:00Z	jury_15	product_2after	session_06	bitterness	2.6
2021-04-12T00:00:00Z	jury_15	product_1before	session_06	sweetness	1.1
2021-04-12T00:00:00Z	jury_15	product_2after	session_06	sweetness	1.4
2021-04-12T00:00:00Z	jury_15	product_1before	session_06	saltiness	2.1
2021-04-12T00:00:00Z	jury_15	product_2after	session_06	saltiness	1.8
2021-04-12T00:00:00Z	jury_15	product_1before	session_06	fatness, volume	0.9
2021-04-12T00:00:00Z	jury_15	product_2after	session_06	fatness, volume	1.5
2021-04-12T00:00:00Z	jury_15	product_1before	session_06	balance	3.1
2021-04-12T00:00:00Z	jury_15	product_2after	session_06	balance	2.2
2021-04-12T00:00:00Z	jury_15	product_1before	session_06	freshness	2.3
2021-04-12T00:00:00Z	jury_15	product_2after	session_06	freshness	2.9
2021-04-12T00:00:00Z	jury_15	product_1before	session_06	persistency	2
2021-04-12T00:00:00Z	jury_15	product_2after	session_06	persistency	2.4
2021-04-12T00:00:00Z	jury_15	product_1before	session_06	mouthwatering	4.4
2021-04-12T00:00:00Z	jury_15	product_2after	session_06	mouthwatering	2.7
2021-04-12T00:00:00Z	jury_16	product_1before	session_06	sourness	7.8
2021-04-12T00:00:00Z	jury_16	product_2after	session_06	sourness	7
2021-04-12T00:00:00Z	jury_16	product_1before	session_06	bitterness	0.6
2021-04-12T00:00:00Z	jury_16	product_2after	session_06	bitterness	1.2
2021-04-12T00:00:00Z	jury_16	product_1before	session_06	sweetness	1.5
2021-04-12T00:00:00Z	jury_16	product_2after	session_06	sweetness	2.2
2021-04-12T00:00:00Z	jury_16	product_1before	session_06	saltiness	0
2021-04-12T00:00:00Z	jury_16	product_2after	session_06	saltiness	1.4
2021-04-12T00:00:00Z	jury_16	product_1before	session_06	fatness, volume	0
2021-04-12T00:00:00Z	jury_16	product_2after	session_06	fatness, volume	0
2021-04-12T00:00:00Z	jury_16	product_1before	session_06	balance	7
2021-04-12T00:00:00Z	jury_16	product_2after	session_06	balance	7.1
2021-04-12T00:00:00Z	jury_16	product_1before	session_06	freshness	3.8
2021-04-12T00:00:00Z	jury_16	product_2after	session_06	freshness	7.1
2021-04-12T00:00:00Z	jury_16	product_1before	session_06	persistency	5.7
2021-04-12T00:00:00Z	jury_16	product_2after	session_06	persistency	4.6
2021-04-12T00:00:00Z	jury_16	product_1before	session_06	mouthwatering	9.2
2021-04-12T00:00:00Z	jury_16	product_2after	session_06	mouthwatering	7.3
2021-04-12T00:00:00Z	jury_17	product_1before	session_06	sourness	4.3
2021-04-12T00:00:00Z	jury_17	product_2after	session_06	sourness	9
2021-04-12T00:00:00Z	jury_17	product_1before	session_06	bitterness	6.7
2021-04-12T00:00:00Z	jury_17	product_2after	session_06	bitterness	3.2
2021-04-12T00:00:00Z	jury_17	product_1before	session_06	sweetness	0.4
2021-04-12T00:00:00Z	jury_17	product_2after	session_06	sweetness	0
2021-04-12T00:00:00Z	jury_17	product_1before	session_06	saltiness	2.2
2021-04-12T00:00:00Z	jury_17	product_2after	session_06	saltiness	3.2
2021-04-12T00:00:00Z	jury_17	product_1before	session_06	fatness, volume	0.8
2021-04-12T00:00:00Z	jury_17	product_2after	session_06	fatness, volume	0
2021-04-12T00:00:00Z	jury_17	product_1before	session_06	balance	3.5
2021-04-12T00:00:00Z	jury_17	product_2after	session_06	balance	0.8
2021-04-12T00:00:00Z	jury_17	product_1before	session_06	freshness	3.5
2021-04-12T00:00:00Z	jury_17	product_2after	session_06	freshness	1.8
2021-04-12T00:00:00Z	jury_17	product_1before	session_06	persistency	5.1
2021-04-12T00:00:00Z	jury_17	product_2after	session_06	persistency	6.4
2021-04-12T00:00:00Z	jury_17	product_1before	session_06	mouthwatering	6.4
2021-04-12T00:00:00Z	jury_17	product_2after	session_06	mouthwatering	8
2021-04-19T00:00:00Z	jury_01	product_1before	session_02	sourness	5
2021-04-19T00:00:00Z	jury_01	product_2after	session_02	sourness	5.5
2021-04-19T00:00:00Z	jury_01	product_1before	session_02	bitterness	6
2021-04-19T00:00:00Z	jury_01	product_2after	session_02	bitterness	6.3
2021-04-19T00:00:00Z	jury_01	product_1before	session_02	sweetness	2.7
2021-04-19T00:00:00Z	jury_01	product_2after	session_02	sweetness	2.7
2021-04-19T00:00:00Z	jury_01	product_1before	session_02	saltiness	3.7
2021-04-19T00:00:00Z	jury_01	product_2after	session_02	saltiness	3.8
2021-04-19T00:00:00Z	jury_01	product_1before	session_02	fatness, volume	6
2021-04-19T00:00:00Z	jury_01	product_2after	session_02	fatness, volume	5.8
2021-04-19T00:00:00Z	jury_01	product_1before	session_02	balance	7
2021-04-19T00:00:00Z	jury_01	product_2after	session_02	balance	5.3
2021-04-19T00:00:00Z	jury_01	product_1before	session_02	freshness	7.1
2021-04-19T00:00:00Z	jury_01	product_2after	session_02	freshness	5.7
2021-04-19T00:00:00Z	jury_01	product_1before	session_02	persistency	7
2021-04-19T00:00:00Z	jury_01	product_2after	session_02	persistency	6.3
2021-04-19T00:00:00Z	jury_01	product_1before	session_02	mouthwatering	4.8
2021-04-19T00:00:00Z	jury_01	product_2after	session_02	mouthwatering	6.3
2021-04-19T00:00:00Z	jury_02	product_1before	session_02	sourness	6.9
2021-04-19T00:00:00Z	jury_02	product_2after	session_02	sourness	6.7
2021-04-19T00:00:00Z	jury_02	product_1before	session_02	bitterness	2
2021-04-19T00:00:00Z	jury_02	product_2after	session_02	bitterness	0
2021-04-19T00:00:00Z	jury_02	product_1before	session_02	sweetness	0
2021-04-19T00:00:00Z	jury_02	product_2after	session_02	sweetness	2.7
2021-04-19T00:00:00Z	jury_02	product_1before	session_02	saltiness	1.8
2021-04-19T00:00:00Z	jury_02	product_2after	session_02	saltiness	0.2
2021-04-19T00:00:00Z	jury_02	product_1before	session_02	fatness, volume	5.5
2021-04-19T00:00:00Z	jury_02	product_2after	session_02	fatness, volume	4.8
2021-04-19T00:00:00Z	jury_02	product_1before	session_02	balance	6.8
2021-04-19T00:00:00Z	jury_02	product_2after	session_02	balance	6
2021-04-19T00:00:00Z	jury_02	product_1before	session_02	freshness	4.8
2021-04-19T00:00:00Z	jury_02	product_2after	session_02	freshness	4.4
2021-04-19T00:00:00Z	jury_02	product_1before	session_02	persistency	3.4
2021-04-19T00:00:00Z	jury_02	product_2after	session_02	persistency	2.4
2021-04-19T00:00:00Z	jury_02	product_1before	session_02	mouthwatering	5.8
2021-04-19T00:00:00Z	jury_02	product_2after	session_02	mouthwatering	4.1
2021-04-19T00:00:00Z	jury_05	product_1before	session_02	sourness	4.5
2021-04-19T00:00:00Z	jury_05	product_2after	session_02	sourness	7.9
2021-04-19T00:00:00Z	jury_05	product_1before	session_02	bitterness	1.9
2021-04-19T00:00:00Z	jury_05	product_2after	session_02	bitterness	1.8
2021-04-19T00:00:00Z	jury_05	product_1before	session_02	sweetness	5.3
2021-04-19T00:00:00Z	jury_05	product_2after	session_02	sweetness	7
2021-04-19T00:00:00Z	jury_05	product_1before	session_02	saltiness	1.4
2021-04-19T00:00:00Z	jury_05	product_2after	session_02	saltiness	2.6
2021-04-19T00:00:00Z	jury_05	product_1before	session_02	fatness, volume	3.6
2021-04-19T00:00:00Z	jury_05	product_2after	session_02	fatness, volume	4.8
2021-04-19T00:00:00Z	jury_05	product_1before	session_02	balance	4.9
2021-04-19T00:00:00Z	jury_05	product_2after	session_02	balance	6.4
2021-04-19T00:00:00Z	jury_05	product_1before	session_02	freshness	5
2021-04-19T00:00:00Z	jury_05	product_2after	session_02	freshness	2.9
2021-04-19T00:00:00Z	jury_05	product_1before	session_02	persistency	5.9
2021-04-19T00:00:00Z	jury_05	product_2after	session_02	persistency	6.5
2021-04-19T00:00:00Z	jury_05	product_1before	session_02	mouthwatering	2
2021-04-19T00:00:00Z	jury_05	product_2after	session_02	mouthwatering	6.3
2021-04-19T00:00:00Z	jury_06	product_1before	session_02	sourness	7.8
2021-04-19T00:00:00Z	jury_06	product_2after	session_02	sourness	7.8
2021-04-19T00:00:00Z	jury_06	product_1before	session_02	bitterness	3.3
2021-04-19T00:00:00Z	jury_06	product_2after	session_02	bitterness	4.1
2021-04-19T00:00:00Z	jury_06	product_1before	session_02	sweetness	0.5
2021-04-19T00:00:00Z	jury_06	product_2after	session_02	sweetness	0.4
2021-04-19T00:00:00Z	jury_06	product_1before	session_02	saltiness	0.6
2021-04-19T00:00:00Z	jury_06	product_2after	session_02	saltiness	0.5
2021-04-19T00:00:00Z	jury_06	product_1before	session_02	fatness, volume	4.2
2021-04-19T00:00:00Z	jury_06	product_2after	session_02	fatness, volume	1.7
2021-04-19T00:00:00Z	jury_06	product_1before	session_02	balance	4.4
2021-04-19T00:00:00Z	jury_06	product_2after	session_02	balance	4.2
2021-04-19T00:00:00Z	jury_06	product_1before	session_02	freshness	2.3
2021-04-19T00:00:00Z	jury_06	product_2after	session_02	freshness	1.8
2021-04-19T00:00:00Z	jury_06	product_1before	session_02	persistency	2
2021-04-19T00:00:00Z	jury_06	product_2after	session_02	persistency	3.2
2021-04-19T00:00:00Z	jury_06	product_1before	session_02	mouthwatering	7
2021-04-19T00:00:00Z	jury_06	product_2after	session_02	mouthwatering	4.2
2021-04-19T00:00:00Z	jury_07	product_1before	session_02	sourness	1.3
2021-04-19T00:00:00Z	jury_07	product_2after	session_02	sourness	5.8
2021-04-19T00:00:00Z	jury_07	product_1before	session_02	bitterness	5.7
2021-04-19T00:00:00Z	jury_07	product_2after	session_02	bitterness	5
2021-04-19T00:00:00Z	jury_07	product_1before	session_02	sweetness	2.2
2021-04-19T00:00:00Z	jury_07	product_2after	session_02	sweetness	4.5
2021-04-19T00:00:00Z	jury_07	product_1before	session_02	saltiness	3.1
2021-04-19T00:00:00Z	jury_07	product_2after	session_02	saltiness	8.5
2021-04-19T00:00:00Z	jury_07	product_1before	session_02	fatness, volume	2.2
2021-04-19T00:00:00Z	jury_07	product_2after	session_02	fatness, volume	6.7
2021-04-19T00:00:00Z	jury_07	product_1before	session_02	balance	6.6
2021-04-19T00:00:00Z	jury_07	product_2after	session_02	balance	4
2021-04-19T00:00:00Z	jury_07	product_1before	session_02	freshness	1.6
2021-04-19T00:00:00Z	jury_07	product_2after	session_02	freshness	3.5
2021-04-19T00:00:00Z	jury_07	product_1before	session_02	persistency	2.3
2021-04-19T00:00:00Z	jury_07	product_2after	session_02	persistency	4.2
2021-04-19T00:00:00Z	jury_07	product_1before	session_02	mouthwatering	3.5
2021-04-19T00:00:00Z	jury_07	product_2after	session_02	mouthwatering	6.9
2021-04-19T00:00:00Z	jury_09	product_1before	session_02	sourness	5
2021-04-19T00:00:00Z	jury_09	product_2after	session_02	sourness	5.4
2021-04-19T00:00:00Z	jury_09	product_1before	session_02	bitterness	3.4
2021-04-19T00:00:00Z	jury_09	product_2after	session_02	bitterness	3.1
2021-04-19T00:00:00Z	jury_09	product_1before	session_02	sweetness	0
2021-04-19T00:00:00Z	jury_09	product_2after	session_02	sweetness	1.3
2021-04-19T00:00:00Z	jury_09	product_1before	session_02	saltiness	0.1
2021-04-19T00:00:00Z	jury_09	product_2after	session_02	saltiness	0.1
2021-04-19T00:00:00Z	jury_09	product_1before	session_02	fatness, volume	2.1
2021-04-19T00:00:00Z	jury_09	product_2after	session_02	fatness, volume	2.2
2021-04-19T00:00:00Z	jury_09	product_1before	session_02	balance	3.7
2021-04-19T00:00:00Z	jury_09	product_2after	session_02	balance	3.1
2021-04-19T00:00:00Z	jury_09	product_1before	session_02	freshness	7.6
2021-04-19T00:00:00Z	jury_09	product_2after	session_02	freshness	7.6
2021-04-19T00:00:00Z	jury_09	product_1before	session_02	persistency	5.1
2021-04-19T00:00:00Z	jury_09	product_2after	session_02	persistency	5.3
2021-04-19T00:00:00Z	jury_09	product_1before	session_02	mouthwatering	2.2
2021-04-19T00:00:00Z	jury_09	product_2after	session_02	mouthwatering	1.3
2021-04-19T00:00:00Z	jury_10	product_1before	session_02	sourness	5.2
2021-04-19T00:00:00Z	jury_10	product_2after	session_02	sourness	5.2
2021-04-19T00:00:00Z	jury_10	product_1before	session_02	bitterness	1.5
2021-04-19T00:00:00Z	jury_10	product_2after	session_02	bitterness	1.8
2021-04-19T00:00:00Z	jury_10	product_1before	session_02	sweetness	3
2021-04-19T00:00:00Z	jury_10	product_2after	session_02	sweetness	2.5
2021-04-19T00:00:00Z	jury_10	product_1before	session_02	saltiness	3.9
2021-04-19T00:00:00Z	jury_10	product_2after	session_02	saltiness	3.7
2021-04-19T00:00:00Z	jury_10	product_1before	session_02	fatness, volume	4.6
2021-04-19T00:00:00Z	jury_10	product_2after	session_02	fatness, volume	2.6
2021-04-19T00:00:00Z	jury_10	product_1before	session_02	balance	7.2
2021-04-19T00:00:00Z	jury_10	product_2after	session_02	balance	2.8
2021-04-19T00:00:00Z	jury_10	product_1before	session_02	freshness	4.5
2021-04-19T00:00:00Z	jury_10	product_2after	session_02	freshness	4.8
2021-04-19T00:00:00Z	jury_10	product_1before	session_02	persistency	7.6
2021-04-19T00:00:00Z	jury_10	product_2after	session_02	persistency	7.2
2021-04-19T00:00:00Z	jury_10	product_1before	session_02	mouthwatering	4.5
2021-04-19T00:00:00Z	jury_10	product_2after	session_02	mouthwatering	6.9
2021-04-19T00:00:00Z	jury_11	product_1before	session_02	sourness	1.8
2021-04-19T00:00:00Z	jury_11	product_2after	session_02	sourness	3.4
2021-04-19T00:00:00Z	jury_11	product_1before	session_02	bitterness	3.1
2021-04-19T00:00:00Z	jury_11	product_2after	session_02	bitterness	5
2021-04-19T00:00:00Z	jury_11	product_1before	session_02	sweetness	1.1
2021-04-19T00:00:00Z	jury_11	product_2after	session_02	sweetness	1.9
2021-04-19T00:00:00Z	jury_11	product_1before	session_02	saltiness	4.4
2021-04-19T00:00:00Z	jury_11	product_2after	session_02	saltiness	5.7
2021-04-19T00:00:00Z	jury_11	product_1before	session_02	fatness, volume	3.9
2021-04-19T00:00:00Z	jury_11	product_2after	session_02	fatness, volume	4.6
2021-04-19T00:00:00Z	jury_11	product_1before	session_02	balance	4.7
2021-04-19T00:00:00Z	jury_11	product_2after	session_02	balance	5.7
2021-04-19T00:00:00Z	jury_11	product_1before	session_02	freshness	5.7
2021-04-19T00:00:00Z	jury_11	product_2after	session_02	freshness	4.4
2021-04-19T00:00:00Z	jury_11	product_1before	session_02	persistency	4.2
2021-04-19T00:00:00Z	jury_11	product_2after	session_02	persistency	5.7
2021-04-19T00:00:00Z	jury_11	product_1before	session_02	mouthwatering	3.5
2021-04-19T00:00:00Z	jury_11	product_2after	session_02	mouthwatering	4.9
2021-04-19T00:00:00Z	jury_13	product_1before	session_02	sourness	6.3
2021-04-19T00:00:00Z	jury_13	product_2after	session_02	sourness	7
2021-04-19T00:00:00Z	jury_13	product_1before	session_02	bitterness	4.9
2021-04-19T00:00:00Z	jury_13	product_2after	session_02	bitterness	5.8
